index,Time (s),HR (BPM),RESP (BPM),SpO2 (%),TEMP (*C),OUTPUT
0,0,94,21,97,36.2,Normal
1,1,94,25,97,36.2,Normal
2,2,101,25,93,38,Abnormal
3,3,55,11,100,35,Abnormal
4,4,93,26,95,37,Normal
5,5,93,26,97,31,Normal
6,6,94,26,97,29,Normal
7,7,94,26,97,29,Normal
8,8,94,26,97,29,Normal
9,9,94,26,97,29,Normal
10,10,94,26,97,42,Abnormal
11,11,94,26,97,42,Abnormal
12,12,94,26,97,29,Normal
13,13,94,26,97,29,Normal
14,14,94,26,97,29,Normal
15,15,95,26,97,29,Normal
16,16,94,26,97,41,Abnormal
17,17,94,24,97,41,Abnormal
18,18,94,24,97,29,Normal
19,19,94,25,97,29,Normal
20,20,94,25,97,42,Abnormal
21,21,94,25,97,42,Abnormal
22,22,94,25,97,29,Normal
23,23,94,25,97,29,Normal
24,24,94,25,97,41,Abnormal
25,25,94,25,97,41,Abnormal
26,26,94,24,98,29,Normal
27,27,94,24,98,29,Normal
28,28,94,24,98,29,Normal
29,29,94,24,98,29,Normal
30,30,94,24,98,29,Normal
31,31,94,24,98,29,Normal
32,32,94,24,98,42,Abnormal
33,33,93,24,98,42,Abnormal
34,34,93,24,98,29,Normal
35,35,93,24,97,29,Normal
36,36,93,24,97,41,Abnormal
37,37,93,24,97,41,Abnormal
38,38,92,24,97,29,Normal
39,39,92,24,97,42,Abnormal
40,40,92,24,97,30,Normal
41,41,92,23,97,29,Normal
42,42,92,23,97,42,Abnormal
43,43,92,23,97,30,Normal
44,44,92,23,97,30,Normal
45,45,95,23,97,29,Normal
46,46,95,23,97,29,Normal
47,47,92,22,97,29,Normal
48,48,92,22,97,29,Normal
49,49,92,22,97,41,Abnormal
50,50,92,22,97,30,Normal
51,51,92,22,97,30,Normal
52,52,92,22,97,42,Abnormal
53,53,91,22,97,42,Abnormal
54,54,89,22,97,29,Normal
55,55,91,22,97,29,Normal
56,56,91,22,97,31,Normal
57,57,91,21,97,29,Normal
58,58,91,21,97,29,Normal
59,59,91,21,97,29,Normal
60,60,90,21,97,29,Normal
61,61,90,21,97,29,Normal
62,62,90,21,97,29,Normal
63,63,90,21,97,29,Normal
64,64,90,21,97,41,Abnormal
65,65,90,21,97,30,Normal
66,66,90,21,97,30,Normal
67,67,91,21,97,29,Normal
68,68,90,20,97,29,Normal
69,69,90,20,97,29,Normal
70,70,91,20,97,29,Normal
71,71,91,20,97,29,Normal
72,72,91,20,97,29,Normal
73,73,91,20,97,29,Normal
74,74,91,21,97,29,Normal
75,75,91,21,97,41,Abnormal
76,76,91,21,97,41,Abnormal
77,77,91,21,97,29,Normal
78,78,91,21,97,29,Normal
79,79,91,21,97,41,Abnormal
80,80,91,21,97,41,Abnormal
81,81,91,21,97,29,Normal
82,82,91,21,97,29,Normal
83,83,91,21,97,29,Normal
84,84,91,21,97,29,Normal
85,85,91,21,97,41,Abnormal
86,86,91,21,97,41,Abnormal
87,87,91,22,97,29,Normal
88,88,91,22,97,29,Normal
89,89,91,22,97,41,Abnormal
90,90,91,22,97,41,Abnormal
91,91,92,22,97,29,Normal
92,92,92,22,97,29,Normal
93,93,92,22,97,41,Abnormal
94,94,92,22,97,41,Abnormal
95,95,92,23,97,29,Normal
96,96,93,23,97,29,Normal
97,97,93,23,97,40,Abnormal
98,98,93,23,97,40,Abnormal
99,99,93,23,97,29,Normal
100,100,93,23,97,29,Normal
101,101,93,23,97,29,Normal
102,102,93,23,97,29,Normal
103,103,93,23,97,30,Normal
104,104,90,23,97,30,Normal
105,105,92,23,97,29,Normal
106,106,92,23,97,29,Normal
