Time (s),SpO2 (%),Temp (C),Blood Flow (ml/s)
0.0,97.0,37.0,71.12
1.0,97.0,29.0,71.16
2.0,97.0,37.0,71.54
3.0,97.0,29.0,71.95
4.0,97.0,37.0,71.42
5.0,97.0,37.0,70.37
6.0,96.0,29.0,71.55
7.0,96.0,29.0,70.9
8.0,96.0,29.0,70.53
9.0,96.0,29.0,71.28
10.0,96.0,29.0,71.57
11.0,96.0,29.0,70.48
12.0,96.0,29.0,72.07
13.0,96.0,29.0,69.57
14.0,96.0,37.0,69.9
15.0,96.0,37.0,73.11
16.0,96.0,37.0,72.21
17.0,96.0,37.0,72.57
18.0,96.0,29.0,70.51
19.0,96.0,29.0,72.12
20.0,96.0,37.0,71.2
21.0,96.0,37.0,72.17
22.0,96.0,29.0,70.92
23.0,96.0,29.0,71.8
24.0,96.0,37.0,71.67
25.0,96.0,37.0,71.58
26.0,96.0,37.0,72.35
27.0,96.0,37.0,70.63
28.0,96.0,29.0,73.31
29.0,97.0,29.0,71.86
30.0,97.0,38.0,71.34
31.0,96.0,38.0,72.76
32.0,96.0,37.0,71.42
33.0,96.0,37.0,73.0
34.0,96.0,29.0,73.28
35.0,96.0,29.0,71.48
36.0,96.0,37.0,71.96
37.0,96.0,37.0,71.72
38.0,96.0,29.0,71.81
39.0,96.0,29.0,71.67
40.0,96.0,38.0,72.44
41.0,96.0,38.0,71.55
42.0,96.0,29.0,72.23
43.0,97.0,29.0,72.31
44.0,97.0,29.0,72.8
45.0,97.0,29.0,71.92
46.0,97.0,29.0,72.8
47.0,97.0,29.0,70.73
48.0,97.0,37.0,73.22
49.0,97.0,37.0,71.13
50.0,97.0,29.0,71.93
51.0,97.0,29.0,74.12
52.0,97.0,29.0,73.23
53.0,97.0,29.0,73.24
54.0,97.0,37.0,71.59
55.0,97.0,37.0,73.29
56.0,97.0,29.0,71.84
57.0,97.0,29.0,72.22
58.0,96.0,37.0,71.95
59.0,96.0,37.0,72.24
60.0,96.0,29.0,72.88
61.0,96.0,29.0,72.31
62.0,96.0,37.0,71.98
63.0,96.0,37.0,72.15
64.0,96.0,37.0,72.29
65.0,96.0,37.0,72.45
66.0,96.0,37.0,72.46
67.0,96.0,37.0,72.85
68.0,97.0,29.0,72.98
69.0,97.0,29.0,73.91
70.0,97.0,36.0,71.97
71.0,97.0,36.0,74.1
72.0,97.0,29.0,73.83
73.0,97.0,29.0,72.54
74.0,97.0,29.0,71.98
75.0,97.0,29.0,73.07
76.0,97.0,29.0,72.26
77.0,97.0,29.0,72.44
78.0,97.0,29.0,72.37
79.0,97.0,29.0,74.35
80.0,97.0,29.0,73.32
81.0,97.0,29.0,73.1
82.0,97.0,29.0,72.61
83.0,97.0,29.0,74.22
84.0,97.0,37.0,73.66
85.0,96.0,37.0,73.72
86.0,96.0,29.0,73.46
87.0,96.0,29.0,73.2
88.0,96.0,29.0,74.09
89.0,96.0,29.0,72.94
90.0,96.0,37.0,73.75
91.0,96.0,37.0,71.81
92.0,96.0,37.0,72.88
93.0,96.0,37.0,72.62
94.0,96.0,29.0,72.27
95.0,96.0,29.0,74.9
96.0,96.0,29.0,74.16
97.0,96.0,29.0,74.11
98.0,96.0,29.0,74.15
99.0,96.0,29.0,71.93
100.0,96.0,37.0,72.85
101.0,96.0,37.0,72.4
102.0,96.0,29.0,73.69
103.0,96.0,29.0,73.94
104.0,96.0,29.0,73.36
105.0,96.0,29.0,73.36
106.0,96.0,29.0,73.56
107.0,96.0,29.0,73.24
108.0,96.0,29.0,73.81
109.0,96.0,29.0,73.15
110.0,96.0,29.0,73.88
111.0,96.0,29.0,74.25
112.0,96.0,37.0,72.32
113.0,96.0,37.0,74.02
114.0,96.0,36.0,74.55
115.0,96.0,36.0,73.23
116.0,96.0,37.0,74.23
117.0,96.0,37.0,73.42
118.0,96.0,29.0,74.18
119.0,96.0,29.0,73.47
120.0,96.0,29.0,74.6
121.0,96.0,29.0,74.19
122.0,96.0,37.0,75.02
123.0,96.0,37.0,74.93
124.0,96.0,37.0,75.31
125.0,96.0,37.0,74.75
126.0,96.0,29.0,74.69
127.0,96.0,29.0,74.68
128.0,96.0,29.0,52.07
129.0,96.0,29.0,52.21
